Date,User,Message
2026-01-05 17:38:31,디자인하는나무,베타 테스터 모집합니다
2026-01-05 17:44:30,빛나는 수달,로컬 모델 돌려보신 분?
2026-01-05 17:49:21,코드짜는 곰,임베딩 모델 추천 좀요
2026-01-05 17:55:02,모델러,저희 서비스 피드백 부탁드려요
2026-01-05 17:58:36,신입인사,에이전트 오케스트레이션 재밌음
2026-01-05 18:12:41,클라우드덕후,오라클 프리티어 쓰는 중
2026-01-05 18:18:39,서버지기,에이전트 오케스트레이션 재밌음
2026-01-05 18:30:21,모델러,오늘 날씨 좋네요
2026-01-05 18:33:57,모델러,에러 나는데 봐주실 분?
2026-01-05 18:43:38,빛나는 수달,주말에 뭐하세요
2026-01-05 18:54:19,서버지기,이 방식이 맞나요?
2026-01-05 19:02:43,조용한관찰자,로컬 모델 돌려보신 분?
2026-01-05 19:08:46,질문요정,오라클 프리티어 쓰는 중
2026-01-05 19:09:31,코드짜는 곰,배포 자동화 어떻게 하세요?
2026-01-05 19:17:37,모델러,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 19:24:46,드립장인,도커 컴포즈로 올렸어요
2026-01-05 19:26:55,모델러,caddy 리버스프록시 편하던데요
2026-01-05 19:35:10,코드짜는 곰,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 19:37:46,프롬프트냥이,저희 서비스 피드백 부탁드려요
2026-01-05 19:45:39,취준생J,이 방식이 맞나요?
2026-01-05 19:54:05,프롬프트냥이,ㅋㅋㅋㅋ 이건 못참지
2026-01-05 20:07:41,취준생J,에러 나는데 봐주실 분?
2026-01-05 20:12:53,드립장인,주말에 뭐하세요
2026-01-05 20:15:34,링크수집가,배포 자동화 어떻게 하세요?
2026-01-05 20:16:59,모델러,무슨 라이브러리 쓰세요?
2026-01-05 20:20:50,모델러,이거 혹시 어떻게 하나요?
2026-01-05 20:27:39,오픈소스러,로컬 모델 돌려보신 분?
2026-01-05 20:42:14,모델러,저희 서비스 피드백 부탁드려요
2026-01-05 20:46:19,오픈소스러,이모티콘
2026-01-05 20:52:23,커피중독,배포 자동화 어떻게 하세요?
2026-01-05 21:01:49,빛나는 수달,이거 혹시 어떻게 하나요?
2026-01-05 21:10:01,조용한관찰자,로컬 모델 돌려보신 분?
2026-01-05 21:15:55,서버지기,무슨 라이브러리 쓰세요?
2026-01-05 21:20:33,질문요정,이거 혹시 어떻게 하나요?
2026-01-05 21:26:51,드립장인,사진
2026-01-05 21:27:42,드립장인,도커 컴포즈로 올렸어요
2026-01-05 21:36:06,밤샘개발자,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 21:42:43,조용한관찰자,저희 서비스 피드백 부탁드려요
2026-01-05 21:56:19,조용한관찰자,다들 점심 뭐 드셨어요
2026-01-05 22:06:28,커피중독,에러 나는데 봐주실 분?
2026-01-05 22:17:30,드립장인,에이전트 오케스트레이션 재밌음
2026-01-05 22:28:04,밤샘개발자,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 22:34:43,질문요정,저희 서비스 피드백 부탁드려요
2026-01-05 22:49:05,오픈소스러,토큰 값이 부담이네요 ㅠㅠ
2026-01-05 23:03:33,프롬프트냥이,배포 자동화 어떻게 하세요?
2026-01-05 23:14:59,신입인사,저희 서비스 피드백 부탁드려요
2026-01-05 23:29:24,신입인사,ㅋㅋㅋㅋ 이건 못참지
2026-01-05 23:37:25,드립장인,이 방식이 맞나요?
2026-01-05 23:43:17,조용한관찰자,에러 나는데 봐주실 분?
2026-01-05 23:48:23,신입인사,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-05 23:52:50,모델러,에러 나는데 봐주실 분?
2026-01-06 00:01:32,프롬프트냥이,요즘 클로드 코드 진짜 좋네요
2026-01-06 00:06:01,프로덕트메이커,베타 테스터 모집합니다
2026-01-06 00:13:36,클라우드덕후,주말에 뭐하세요
2026-01-06 00:18:13,드립장인,에이전트 오케스트레이션 재밌음
2026-01-06 00:27:41,조용한관찰자,caddy 리버스프록시 편하던데요
2026-01-06 00:38:04,취준생J,베타 테스터 모집합니다
2026-01-06 00:43:27,드립장인,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 00:45:56,신입인사,요즘 클로드 코드 진짜 좋네요
2026-01-06 00:48:25,오픈소스러,요즘 클로드 코드 진짜 좋네요
2026-01-06 00:56:16,서버지기,도커 컴포즈로 올렸어요
2026-01-06 00:58:32,질문요정,이 방식이 맞나요?
2026-01-06 00:59:46,링크수집가,오라클 프리티어 쓰는 중
2026-01-06 01:09:37,모델러,저희 서비스 피드백 부탁드려요
2026-01-06 01:18:52,커피중독,이 방식이 맞나요?
2026-01-06 01:26:31,프로덕트메이커,저희 서비스 피드백 부탁드려요
2026-01-06 01:28:32,논쟁왕,오라클 프리티어 쓰는 중
2026-01-06 01:31:49,클라우드덕후,사진
2026-01-06 01:39:50,오픈소스러,다들 점심 뭐 드셨어요
2026-01-06 01:52:09,프롬프트냥이,에이전트 오케스트레이션 재밌음
2026-01-06 02:05:59,논쟁왕,이거 혹시 어떻게 하나요?
2026-01-06 02:10:51,링크수집가,요즘 클로드 코드 진짜 좋네요
2026-01-06 02:23:57,프로덕트메이커,이거 혹시 어떻게 하나요?
2026-01-06 02:31:09,신입인사,저희 서비스 피드백 부탁드려요
2026-01-06 02:32:09,모델러,커피 한 잔 하고 갑니다
2026-01-06 02:43:59,빛나는 수달,사진
2026-01-06 02:57:13,조용한관찰자,이 방식이 맞나요?
2026-01-06 03:07:32,모델러,이거 혹시 어떻게 하나요?
2026-01-06 03:13:20,밤샘개발자,오라클 프리티어 쓰는 중
2026-01-06 03:24:58,커피중독,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 03:30:49,밤샘개발자,이거 혹시 어떻게 하나요?
2026-01-06 03:38:12,코드짜는 곰,오라클 프리티어 쓰는 중
2026-01-06 03:46:04,코드짜는 곰,오라클 프리티어 쓰는 중
2026-01-06 03:53:52,오픈소스러,요즘 클로드 코드 진짜 좋네요
2026-01-06 03:58:17,조용한관찰자,사진
2026-01-06 04:05:34,질문요정,도커 컴포즈로 올렸어요
2026-01-06 04:20:06,링크수집가,무슨 라이브러리 쓰세요?
2026-01-06 04:34:40,오픈소스러,에러 나는데 봐주실 분?
2026-01-06 04:38:15,취준생J,도커 컴포즈로 올렸어요
2026-01-06 04:45:39,서버지기,베타 테스터 모집합니다
2026-01-06 04:51:04,오픈소스러,배포 자동화 어떻게 하세요?
2026-01-06 05:00:49,클라우드덕후,이 방식이 맞나요?
2026-01-06 05:13:03,드립장인,베타 테스터 모집합니다
2026-01-06 05:14:07,서버지기,이 방식이 맞나요?
2026-01-06 05:28:27,링크수집가,이거 혹시 어떻게 하나요?
2026-01-06 05:34:26,밤샘개발자,이거 혹시 어떻게 하나요?
2026-01-06 05:47:05,링크수집가,에러 나는데 봐주실 분?
2026-01-06 05:51:56,서버지기,저희 서비스 피드백 부탁드려요
2026-01-06 05:57:52,클라우드덕후,무슨 라이브러리 쓰세요?
2026-01-06 06:06:31,클라우드덕후,임베딩 모델 추천 좀요
2026-01-06 06:11:45,드립장인,토큰 값이 부담이네요 ㅠㅠ
2026-01-06 06:24:05,밤샘개발자,에러 나는데 봐주실 분?
2026-01-06 06:25:12,서버지기,로컬 모델 돌려보신 분?
2026-01-06 06:29:42,취준생J,에러 나는데 봐주실 분?
2026-01-06 06:36:33,드립장인,에러 나는데 봐주실 분?
2026-01-06 06:44:43,신입인사,토큰 값이 부담이네요 ㅠㅠ
2026-01-06 06:47:44,질문요정,무슨 라이브러리 쓰세요?
2026-01-06 06:55:18,신입인사,무슨 라이브러리 쓰세요?
2026-01-06 07:03:52,밤샘개발자,배포 자동화 어떻게 하세요?
2026-01-06 07:16:08,프로덕트메이커,이모티콘
2026-01-06 07:28:10,코드짜는 곰,저희 서비스 피드백 부탁드려요
2026-01-06 07:33:23,드립장인,베타 테스터 모집합니다
2026-01-06 07:37:59,링크수집가,에이전트 오케스트레이션 재밌음
2026-01-06 07:45:50,코드짜는 곰,베타 테스터 모집합니다
2026-01-06 07:51:12,서버지기,에러 나는데 봐주실 분?
2026-01-06 07:57:46,취준생J,베타 테스터 모집합니다
2026-01-06 08:12:10,오픈소스러,주말에 뭐하세요
2026-01-06 08:13:47,링크수집가,배포 자동화 어떻게 하세요?
2026-01-06 08:20:21,질문요정,이거 혹시 어떻게 하나요?
2026-01-06 08:26:58,신입인사,베타 테스터 모집합니다
2026-01-06 08:29:08,드립장인,이거 혹시 어떻게 하나요?
2026-01-06 08:35:03,드립장인,에이전트 오케스트레이션 재밌음
2026-01-06 08:40:32,모델러,사진
2026-01-06 08:41:30,프로덕트메이커,이거 혹시 어떻게 하나요?
2026-01-06 08:44:08,커피중독,무슨 라이브러리 쓰세요?
2026-01-06 08:53:41,모델러,저희 서비스 피드백 부탁드려요
2026-01-06 09:05:11,밤샘개발자,이 방식이 맞나요?
2026-01-06 09:17:17,디자인하는나무,배포 자동화 어떻게 하세요?
2026-01-06 09:23:48,밤샘개발자,커피 한 잔 하고 갑니다
2026-01-06 09:25:10,커피중독,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 09:39:33,프롬프트냥이,에이전트 오케스트레이션 재밌음
2026-01-06 09:40:14,코드짜는 곰,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 09:44:04,질문요정,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 09:48:22,서버지기,도커 컴포즈로 올렸어요
2026-01-06 09:50:55,클라우드덕후,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 09:53:29,빛나는 수달,이모티콘
2026-01-06 09:58:20,코드짜는 곰,배포 자동화 어떻게 하세요?
2026-01-06 10:06:47,프롬프트냥이,커피 한 잔 하고 갑니다
2026-01-06 10:10:53,코드짜는 곰,베타 테스터 모집합니다
2026-01-06 10:12:15,오픈소스러,이 방식이 맞나요?
2026-01-06 10:20:09,질문요정,로컬 모델 돌려보신 분?
2026-01-06 10:25:10,클라우드덕후,오늘 날씨 좋네요
2026-01-06 10:33:14,취준생J,베타 테스터 모집합니다
2026-01-06 10:48:07,클라우드덕후,배포 자동화 어떻게 하세요?
2026-01-06 10:54:14,프롬프트냥이,이 방식이 맞나요?
2026-01-06 10:59:54,신입인사,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 11:01:47,질문요정,토큰 값이 부담이네요 ㅠㅠ
2026-01-06 11:15:58,링크수집가,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 11:21:55,밤샘개발자,무슨 라이브러리 쓰세요?
2026-01-06 11:29:28,코드짜는 곰,커피 한 잔 하고 갑니다
2026-01-06 11:38:27,논쟁왕,배포 자동화 어떻게 하세요?
2026-01-06 11:53:12,클라우드덕후,다들 점심 뭐 드셨어요
2026-01-06 12:07:18,모델러,저희 서비스 피드백 부탁드려요
2026-01-06 12:08:04,신입인사,gpt랑 비교하면 어때요?
2026-01-06 12:14:11,디자인하는나무,gpt랑 비교하면 어때요?
2026-01-06 12:21:21,질문요정,도커 컴포즈로 올렸어요
2026-01-06 12:28:06,모델러,무슨 라이브러리 쓰세요?
2026-01-06 12:33:58,질문요정,gpt랑 비교하면 어때요?
2026-01-06 12:45:48,질문요정,오늘 날씨 좋네요
2026-01-06 12:53:40,모델러,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 13:01:20,밤샘개발자,커피 한 잔 하고 갑니다
2026-01-06 13:02:26,드립장인,사진
2026-01-06 13:07:54,논쟁왕,오라클 프리티어 쓰는 중
2026-01-06 13:16:43,모델러,caddy 리버스프록시 편하던데요
2026-01-06 13:25:35,클라우드덕후,다들 점심 뭐 드셨어요
2026-01-06 13:33:21,빛나는 수달,이거 혹시 어떻게 하나요?
2026-01-06 13:43:28,커피중독,이모티콘
2026-01-06 13:49:20,조용한관찰자,베타 테스터 모집합니다
2026-01-06 13:51:10,모델러,gpt랑 비교하면 어때요?
2026-01-06 13:52:50,커피중독,주말에 뭐하세요
2026-01-06 13:54:28,취준생J,임베딩 모델 추천 좀요
2026-01-06 14:00:45,디자인하는나무,caddy 리버스프록시 편하던데요
2026-01-06 14:04:02,링크수집가,gpt랑 비교하면 어때요?
2026-01-06 14:12:17,프롬프트냥이,저희 서비스 피드백 부탁드려요
2026-01-06 14:23:19,서버지기,배포 자동화 어떻게 하세요?
2026-01-06 14:28:49,신입인사,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 14:37:01,프롬프트냥이,요즘 클로드 코드 진짜 좋네요
2026-01-06 14:48:21,질문요정,저희 서비스 피드백 부탁드려요
2026-01-06 14:58:08,코드짜는 곰,에러 나는데 봐주실 분?
2026-01-06 15:01:02,코드짜는 곰,이거 혹시 어떻게 하나요?
2026-01-06 15:13:33,질문요정,저희 서비스 피드백 부탁드려요
2026-01-06 15:21:21,프롬프트냥이,저희 서비스 피드백 부탁드려요
2026-01-06 15:26:30,커피중독,무슨 라이브러리 쓰세요?
2026-01-06 15:37:36,서버지기,로컬 모델 돌려보신 분?
2026-01-06 15:42:46,신입인사,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 15:45:30,디자인하는나무,오늘 날씨 좋네요
2026-01-06 15:47:16,프로덕트메이커,베타 테스터 모집합니다
2026-01-06 15:49:46,취준생J,에이전트 오케스트레이션 재밌음
2026-01-06 15:50:24,디자인하는나무,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 16:03:48,오픈소스러,caddy 리버스프록시 편하던데요
2026-01-06 16:09:10,밤샘개발자,저희 서비스 피드백 부탁드려요
2026-01-06 16:10:08,서버지기,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 16:13:33,조용한관찰자,이거 혹시 어떻게 하나요?
2026-01-06 16:17:56,프롬프트냥이,베타 테스터 모집합니다
2026-01-06 16:22:15,클라우드덕후,오라클 프리티어 쓰는 중
2026-01-06 16:36:50,논쟁왕,커피 한 잔 하고 갑니다
2026-01-06 16:41:58,커피중독,저희 서비스 피드백 부탁드려요
2026-01-06 16:45:42,링크수집가,다들 점심 뭐 드셨어요
2026-01-06 16:55:29,밤샘개발자,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 17:00:28,프롬프트냥이,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 17:04:35,프롬프트냥이,다들 점심 뭐 드셨어요
2026-01-06 17:11:17,드립장인,이모티콘
2026-01-06 17:13:18,서버지기,사진
2026-01-06 17:27:47,오픈소스러,이모티콘
2026-01-06 17:29:28,빛나는 수달,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 17:42:12,취준생J,이거 혹시 어떻게 하나요?
2026-01-06 17:44:36,코드짜는 곰,배포 자동화 어떻게 하세요?
2026-01-06 17:46:00,밤샘개발자,이거 혹시 어떻게 하나요?
2026-01-06 17:58:35,링크수집가,사진
2026-01-06 18:04:56,드립장인,베타 테스터 모집합니다
2026-01-06 18:14:12,디자인하는나무,임베딩 모델 추천 좀요
2026-01-06 18:23:11,클라우드덕후,토큰 값이 부담이네요 ㅠㅠ
2026-01-06 18:30:07,디자인하는나무,다들 점심 뭐 드셨어요
2026-01-06 18:34:33,밤샘개발자,저희 서비스 피드백 부탁드려요
2026-01-06 18:40:53,클라우드덕후,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 18:53:05,오픈소스러,caddy 리버스프록시 편하던데요
2026-01-06 19:01:13,코드짜는 곰,사진
2026-01-06 19:04:57,코드짜는 곰,주말에 뭐하세요
2026-01-06 19:14:33,오픈소스러,다들 점심 뭐 드셨어요
2026-01-06 19:20:58,코드짜는 곰,주말에 뭐하세요
2026-01-06 19:28:07,프롬프트냥이,무슨 라이브러리 쓰세요?
2026-01-06 19:36:56,디자인하는나무,베타 테스터 모집합니다
2026-01-06 19:38:36,모델러,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 19:40:17,서버지기,주말에 뭐하세요
2026-01-06 19:43:27,프롬프트냥이,사진
2026-01-06 19:49:48,모델러,다들 점심 뭐 드셨어요
2026-01-06 19:56:20,취준생J,도커 컴포즈로 올렸어요
2026-01-06 20:10:00,프롬프트냥이,gpt랑 비교하면 어때요?
2026-01-06 20:16:35,디자인하는나무,이거 혹시 어떻게 하나요?
2026-01-06 20:23:14,디자인하는나무,이거 혹시 어떻게 하나요?
2026-01-06 20:30:21,서버지기,이모티콘
2026-01-06 20:33:51,오픈소스러,베타 테스터 모집합니다
2026-01-06 20:47:24,신입인사,에러 나는데 봐주실 분?
2026-01-06 20:56:06,논쟁왕,gpt랑 비교하면 어때요?
2026-01-06 21:08:36,프롬프트냥이,에이전트 오케스트레이션 재밌음
2026-01-06 21:20:19,디자인하는나무,임베딩 모델 추천 좀요
2026-01-06 21:35:10,조용한관찰자,오라클 프리티어 쓰는 중
2026-01-06 21:38:55,링크수집가,사진
2026-01-06 21:48:42,디자인하는나무,에러 나는데 봐주실 분?
2026-01-06 21:54:18,커피중독,이 방식이 맞나요?
2026-01-06 21:55:53,링크수집가,다들 점심 뭐 드셨어요
2026-01-06 22:02:05,링크수집가,저희 서비스 피드백 부탁드려요
2026-01-06 22:04:37,모델러,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-06 22:10:08,조용한관찰자,오라클 프리티어 쓰는 중
2026-01-06 22:19:19,프로덕트메이커,로컬 모델 돌려보신 분?
2026-01-06 22:24:20,링크수집가,커피 한 잔 하고 갑니다
2026-01-06 22:27:32,링크수집가,오라클 프리티어 쓰는 중
2026-01-06 22:41:57,빛나는 수달,요즘 클로드 코드 진짜 좋네요
2026-01-06 22:46:48,논쟁왕,베타 테스터 모집합니다
2026-01-06 22:57:50,클라우드덕후,주말에 뭐하세요
2026-01-06 23:09:51,커피중독,오늘 날씨 좋네요
2026-01-06 23:17:41,모델러,이 방식이 맞나요?
2026-01-06 23:23:21,서버지기,오늘 날씨 좋네요
2026-01-06 23:33:16,밤샘개발자,ㅋㅋㅋㅋ 이건 못참지
2026-01-06 23:37:49,링크수집가,요즘 클로드 코드 진짜 좋네요
2026-01-06 23:48:39,모델러,caddy 리버스프록시 편하던데요
2026-01-07 00:01:17,서버지기,caddy 리버스프록시 편하던데요
2026-01-07 00:10:07,프로덕트메이커,이거 혹시 어떻게 하나요?
2026-01-07 00:18:15,드립장인,사진
2026-01-07 00:23:23,오픈소스러,저희 서비스 피드백 부탁드려요
2026-01-07 00:23:51,밤샘개발자,에러 나는데 봐주실 분?
2026-01-07 00:37:13,커피중독,다들 점심 뭐 드셨어요
2026-01-07 00:40:52,디자인하는나무,베타 테스터 모집합니다
2026-01-07 00:54:14,클라우드덕후,커피 한 잔 하고 갑니다
2026-01-07 00:56:13,커피중독,주말에 뭐하세요
2026-01-07 00:59:00,논쟁왕,저희 서비스 피드백 부탁드려요
2026-01-07 00:59:59,링크수집가,오늘 날씨 좋네요
2026-01-07 01:09:06,링크수집가,커피 한 잔 하고 갑니다
2026-01-07 01:19:57,프로덕트메이커,베타 테스터 모집합니다
2026-01-07 01:28:38,프로덕트메이커,이거 혹시 어떻게 하나요?
2026-01-07 01:36:04,프로덕트메이커,임베딩 모델 추천 좀요
2026-01-07 01:49:45,드립장인,임베딩 모델 추천 좀요
2026-01-07 02:02:23,커피중독,사진
2026-01-07 02:14:40,밤샘개발자,도커 컴포즈로 올렸어요
2026-01-07 02:22:02,논쟁왕,이 방식이 맞나요?
2026-01-07 02:23:25,링크수집가,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-07 02:31:54,취준생J,무슨 라이브러리 쓰세요?
2026-01-07 02:41:19,서버지기,베타 테스터 모집합니다
2026-01-07 02:53:16,신입인사,베타 테스터 모집합니다
2026-01-07 03:03:07,프로덕트메이커,오라클 프리티어 쓰는 중
2026-01-07 03:15:13,오픈소스러,오늘 날씨 좋네요
2026-01-07 03:29:07,신입인사,다들 점심 뭐 드셨어요
2026-01-07 03:36:11,디자인하는나무,사진
2026-01-07 03:48:42,질문요정,오늘 날씨 좋네요
2026-01-07 03:52:41,논쟁왕,베타 테스터 모집합니다
2026-01-07 03:55:21,밤샘개발자,저희 서비스 피드백 부탁드려요
2026-01-07 04:07:06,취준생J,사진
2026-01-07 04:14:29,서버지기,이거 혹시 어떻게 하나요?
2026-01-07 04:24:12,조용한관찰자,이 방식이 맞나요?
2026-01-07 04:29:26,서버지기,다들 점심 뭐 드셨어요
2026-01-07 04:39:33,드립장인,저희 서비스 피드백 부탁드려요
2026-01-07 04:42:52,모델러,도커 컴포즈로 올렸어요
2026-01-07 04:51:39,조용한관찰자,사진
2026-01-07 05:01:40,밤샘개발자,주말에 뭐하세요
2026-01-07 05:10:56,오픈소스러,배포 자동화 어떻게 하세요?
2026-01-07 05:16:54,조용한관찰자,이모티콘
2026-01-07 05:22:59,프로덕트메이커,저희 서비스 피드백 부탁드려요
2026-01-07 05:37:55,커피중독,무슨 라이브러리 쓰세요?
2026-01-07 05:41:24,링크수집가,이모티콘
2026-01-07 05:48:16,드립장인,무슨 라이브러리 쓰세요?
2026-01-07 06:00:56,빛나는 수달,주말에 뭐하세요
2026-01-07 06:03:17,프롬프트냥이,ㅋㅋㅋㅋ 이건 못참지
2026-01-07 06:15:37,프로덕트메이커,에이전트 오케스트레이션 재밌음
2026-01-07 06:26:26,드립장인,caddy 리버스프록시 편하던데요
2026-01-07 06:37:06,디자인하는나무,이 방식이 맞나요?
2026-01-07 06:51:31,논쟁왕,도커 컴포즈로 올렸어요
2026-01-07 06:58:01,질문요정,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-07 07:06:58,논쟁왕,저희 서비스 피드백 부탁드려요
2026-01-07 07:16:10,프롬프트냥이,에이전트 오케스트레이션 재밌음
2026-01-07 07:18:03,취준생J,이거 혹시 어떻게 하나요?
2026-01-07 07:26:10,코드짜는 곰,베타 테스터 모집합니다
2026-01-07 07:26:52,커피중독,다들 점심 뭐 드셨어요
2026-01-07 07:27:58,모델러,다들 점심 뭐 드셨어요
2026-01-07 07:29:28,오픈소스러,로컬 모델 돌려보신 분?
2026-01-07 07:42:52,모델러,오늘 날씨 좋네요
2026-01-07 07:49:38,커피중독,에이전트 오케스트레이션 재밌음
2026-01-07 07:52:14,디자인하는나무,gpt랑 비교하면 어때요?
2026-01-07 07:54:44,드립장인,요즘 클로드 코드 진짜 좋네요
2026-01-07 08:07:20,클라우드덕후,이 방식이 맞나요?
2026-01-07 08:13:34,링크수집가,ㅋㅋㅋㅋ 이건 못참지
2026-01-07 08:15:49,코드짜는 곰,이거 혹시 어떻게 하나요?
2026-01-07 08:26:17,코드짜는 곰,이거 혹시 어떻게 하나요?
2026-01-07 08:34:06,드립장인,사이드프로젝트 오픈했어요 https://example.com 구경오세요
2026-01-07 08:36:49,취준생J,ㅋㅋㅋㅋ 이건 못참지
